muni_code,city_name,n_deals,median_price,mean_price,price_per_room,year_min,year_max
100779,תל אביב -יפו,21072,3200000.0,3641424.5268602883,1046666.6666666666,2018,2023
13148,בית שמש,4891,1485000.0,1594491.7744837457,405000.0,2018,2023
14519,מודיעין-מכבים-רעות,3595,2340000.0,2449880.2361613354,565000.0,2018,2023
15040,רעננה,3312,2580000.0,2753410.272041063,616666.6666666666,2018,2023
17081,כפר סבא,3695,2250000.0,2375594.501759134,559583.3333333333,2018,2023
18355,חדרה,4917,1340000.0,1375466.76001627,347500.0,2018,2023
18384,הרצלייה,3947,2525000.0,2769952.9891056498,656250.0,2018,2023
22775,אשקלון,7188,1200000.0,1242277.9561769615,316666.6666666667,2018,2023
23894,רחובות,6397,1800000.0,1896671.7189307488,471428.5714285714,2018,2023
24123,בני ברק,6635,1750000.0,1859412.8997739262,550000.0,2018,2023
29156,בת ים,7712,1500000.0,1620007.2356068464,530000.0,2018,2023
34119,אשדוד,10711,1600000.0,1697137.2256558677,442500.0,2018,2023
36351,חולון,8728,1690000.0,1786861.5622135655,496666.6666666667,2018,2023
39093,רמת גן,10315,2191000.0,2339210.056713524,666666.6666666666,2018,2023
40747,ראשון לציון,9340,1790000.0,1913486.5917558887,500000.0,2018,2023
42076,באר שבע,14664,885000.0,972450.5876977632,266666.6666666667,2018,2023
45470,נתניה,11103,1770000.0,1957783.3720616049,466666.6666666667,2018,2023
49499,פתח תקווה,13027,1765000.0,1910413.3980962615,482500.0,2018,2023
62630,חיפה,19881,1170000.0,1317499.8568482471,350000.0,2018,2023
65700,ירושלים,18565,2050000.0,2299030.228386749,600000.0,2018,2023
